"label","discount","product-item__aspect-ratio href","product-item__primary-image src","product-item__secondary-image src","loader-button__text","visually-hidden","visually-hidden 2","product-item-meta__title","money","visually-hidden 3","money 2","visually-hidden 4","ait_usp_line","jdgm-prev-badge__text","product-item-meta__ratings-count","product-rating","visually-hidden 5","money 3","product-variant-select","product-variant-select 2","loader-button__text 2","restock-rocket-button"
"New Launch","0","https://twobrothersindiashop.com/products/protein-atta","https://twobrothersindiashop.com/cdn/shop/files/High_Protein_atta_listing_images-01_1200x.jpg?v=1785234780","https://twobrothersindiashop.com/cdn/shop/files/High_Protein_atta_listing_images-02_1200x.jpg?v=1785234779","ADD TO CART","Quick view","Quick view","High Protein Khapli Atta","₹1,998","Sale price","₹2,270","Regular price","22g Protein in 4 Rotis | Low Gluten","4.68 | 44 Reviews","44 Reviews","4.7","Sale price","₹265","10kg","5kg","Add to cart",""
"Trending","0","https://twobrothersindiashop.com/products/khapli-emmer-long-wheat-atta-stoneground-2kg","https://twobrothersindiashop.com/cdn/shop/files/Image_01_3cec8e10-74c4-41c5-872b-a00324274978_1200x.jpg?v=1785402703","https://twobrothersindiashop.com/cdn/shop/files/KhapliAttaListing-09_1200x.jpg?v=1785402703","ADD TO CART","Quick view","Quick view","Khapli Wheat Atta (Emmer Wheat Flour) Atta Stone Ground","₹1,664","Sale price","₹1,891","Regular price","Low GI | Certified Glyphosate-Free","4.9 | 1631 Reviews","1k+ Reviews","4.9","Sale price","₹425","10 kg","5 kg","Add to cart",""
"Best Seller","0","https://twobrothersindiashop.com/products/amorearth-desi-cow-a2-ghee","https://twobrothersindiashop.com/cdn/shop/files/CulturedGheeIngredient1l_1200x.jpg?v=1785404214","https://twobrothersindiashop.com/cdn/shop/files/CulturedGheeListing-02_1200x.jpg?v=1785404214","ADD TO CART","Quick view","Quick view","Desi Gir Cow Cultured Ghee","₹2,966","Sale price","₹3,370","Regular price","Bilona-made | Certified Glyphosate-Free","4.89 | 2412 Reviews","2k+ Reviews","4.9","Sale price","₹935","1000 ml (Glass Bottle)","500 ml (Glass Bottle)","Add to cart",""
"Trending","0","https://twobrothersindiashop.com/products/khapli-multigrain-atta","https://twobrothersindiashop.com/cdn/shop/files/Khapli_Multigrain_Atta_Ingredient_5kg_1200x.jpg?v=1785246161","https://twobrothersindiashop.com/cdn/shop/files/Khapli_Multigrain_Atta_Listing-08_1200x.jpg?v=1785246263","ADD TO CART","Quick view","Quick view","Khapli Multigrain Atta","₹1,536","Sale price","₹1,745","Regular price","50% Khapli | 50% Supergrains","4.85 | 406 Reviews","406 Reviews","4.9","Sale price","₹370","10kg","5kg","Add to cart",""
"Must Try","0","https://twobrothersindiashop.com/products/date-palm-jaggery-solid-pure-date-palm-sap-1-kg","https://twobrothersindiashop.com/cdn/shop/files/DatePalmJaggeryIngredients_1200x.jpg?v=1785323692","https://twobrothersindiashop.com/cdn/shop/files/DatePalmJaggeryListing-02_1200x.jpg?v=1785323692","ADD TO CART","+ Add to cart","Sale price","Date Palm Jaggery Solid, Date Palm Sap","₹788","","₹895","","Artisinal jaggery | fresh sap","4.87 | 225 Reviews","225 Reviews","4.9","Sale price","₹895","500 g","","Add to cart",""
"Trending","0","https://twobrothersindiashop.com/products/wood-pressed-organic-groundnut-peanut-oil-1litre-bottle","https://twobrothersindiashop.com/cdn/shop/files/Groundnut_Oil_TBIF_DOM-01_1200x.jpg?v=1785314976","https://twobrothersindiashop.com/cdn/shop/files/Groundnut_Oil_TBIF_DOM-02_1200x.jpg?v=1785314975","ADD TO CART","Quick view","Quick view","Groundnut Oil, Cold-Pressed, Single-filtered","₹1,773","Sale price","₹2,015","Regular price","Single pressed | Certified Glyphosate-Free","4.86 | 631 Reviews","631 Reviews","4.9","Sale price","₹425","Tin Can - 5 Ltr","Plastic Bottle 2L","Add to cart",""
"Best Seller","0","https://twobrothersindiashop.com/products/amlaprash-500-gms","https://twobrothersindiashop.com/cdn/shop/files/Amlaprash_Ingredient_1200x.jpg?v=1785267204","https://twobrothersindiashop.com/cdn/shop/files/Amlaprash_500g_FOP_1200x.jpg?v=1785267204","ADD TO CART","Quick view","Quick view","Amlaprash (Limited Edition Chyawanprash)","₹1,725","Sale price","₹1,960","Regular price","40+ herbs | Certified Glyphosate-Free","4.87 | 1168 Reviews","1k+ Reviews","4.9","Sale price","₹675","1 kg","500 g","Add to cart",""
"Trending","0","https://twobrothersindiashop.com/products/black-mustard-oil","https://twobrothersindiashop.com/cdn/shop/files/MustardOilListingDOMTBIF_Artboard1-01_1200x.jpg?v=1785329074","https://twobrothersindiashop.com/cdn/shop/files/Mustard_Oil_Listing_DOM_TBIF_Artboard_1_copy_1200x.jpg?v=1785315704","ADD TO CART","Quick view","Quick view","Black Mustard Oil I Cold-Pressed","₹1,659","Sale price","₹1,885","Regular price","Single filtered | Certified Glyphosate-Free","4.86 | 139 Reviews","139 Reviews","4.9","Sale price","₹395","5L Tin Can","2L Plastic Bottle","Add to cart",""
"Must Try","0","https://twobrothersindiashop.com/products/crushed-organic-jaggery-500-gms-pack-granular-form","https://twobrothersindiashop.com/cdn/shop/files/JaggeryPowderListing-01_1200x.jpg?v=1785318272","https://twobrothersindiashop.com/cdn/shop/files/Jaggery_Powder_Listing-03_1200x.jpg?v=1785318371","ADD TO CART","Quick view","Quick view","Sugarcane Jaggery, Crushed Granular","₹92","Sale price","₹105","Regular price","Sulphur free | Certified Glyphosate-Free","4.88 | 923 Reviews","923 Reviews","4.9","Sale price","₹105","2kg","500g","Add to cart",""
"Must Try","0","https://twobrothersindiashop.com/products/two-brothers-india-farms-amorearth-jaggery","https://twobrothersindiashop.com/cdn/shop/files/JaggeryBlock900gListingDOMTBIF-01_1200x.jpg?v=1785319251","https://twobrothersindiashop.com/cdn/shop/files/JaggeryBlock900gListingDOMTBIF-02_1200x.jpg?v=1785319251","ADD TO CART","+ Add to cart","Sale price","Sugarcane Jaggery Block","₹198","","₹225","","Sulphur-free | Certified Glyphosate-Free","4.88 | 951 Reviews","951 Reviews","4.9","Sale price","₹225","900g","","Add to cart",""
